order_id,order_date,product,category,price,quantity,customer_id,city,payment_method
9acd9a87-7068-4e70-aaa7-0736e06d93a6,2024-01-06,Laptop Air 13,Electronics,1697.58,1,3113,Shanghai,Apple Pay
4b422ba1-e995-4a1d-8973-9dc3ed3119d9,2023-02-24,Noise Cancelling Headphones,Electronics,117.79,3,7479,Vancouver,Credit Card
63551d80-aabc-42a3-b0f8-c82d03d4e9da,2023-12-30,Coffee Maker,Home,239.06,1,4499,Chicago,Debit Card
dec8d714-b32a-4a4a-a4d2-ff90cf870a1a,2023-07-31,Wireless Mouse,Electronics,2003.05,1,9975,Shanghai,Debit Card
a7cf8490-d27d-47c6-a642-5b1ff20ec727,2024-07-02,Noise Cancelling Headphones,Electronics,1377.98,2,4536,Toronto,Cash
6013711a-6cfb-4005-9cb8-c1e57e486171,2023-02-13,Coffee Maker,Home,107.66,4,3790,Chicago,Debit Card
74f57fe4-e53a-4811-9565-e26c8aea2b71,2023-11-03,Smartwatch,Electronics,1095.58,1,6237,Chicago,Apple Pay
90949b57-3a36-4b6a-a3aa-f15ec8865f2b,2023-09-24,Noise Cancelling Headphones,Electronics,2331.23,3,8147,Toronto,Cash
70269df3-c0d0-41ea-9c2d-76a48f2be055,2024-06-04,Backpack Travel,Accessories,2466.27,2,3652,Toronto,PayPal
a065326f-ea0d-43b3-989b-8e65face3fd7,2024-08-18,Wireless Mouse,Electronics,1094.51,2,1312,Vancouver,Cash
ba7eeee6-90ad-47d5-bcb8-245696dd5c47,2023-10-28,Backpack Travel,Accessories,2003.69,4,5720,Vancouver,PayPal
28f31d50-9351-4992-bf47-8cd47fb808ef,2024-07-26,Coffee Maker,Home,1171.52,3,3534,Shanghai,PayPal
24bcbc86-f1a8-4dba-8b0f-0fc0dd29f89e,2023-09-08,Wireless Mouse,Electronics,1602.64,1,5257,New York,Apple Pay
